item_id;item;defom;exsz;schpl;x_mm;y_mm;z_mm;pzxsc;kgxsc;x_sc_mm;y_sc_mm;z_sc_mm;scxfrd;frdxplt;x_frd_mm;y_frd_mm;z_frd_mm;kgxfrd;cdsup;scxpl;z_cub_mm;x_pal_mm;y_pal_mm;kgxplt;z_pal_mm
3967c427e1 N 040;3967c427e1;30X60;0;N 040;300;600;9;6;22,2;300;600;54;0;inf;300;600;0;0;9;40;-134;800;1200;888;134
3967c427e1 S 040;3967c427e1;30X60;0;S 040;300;600;9;6;22,2;300;600;54;2;20;300;600;124,2;44,4;F;40;601;800;1200;888;134
e5025245a4 S 048;e5025245a4;40X80;0;S 048;400;800;10;4;17,47;400;800;40;5;9,6;400;800;230;87,35;U;48;803;800;1200;838,56;132
5d7ed74fcb S 030;5d7ed74fcb;60X60 SP;0;S 030;600;600;20;2;33;600;600;40;3;10;600;600;138;99;F;30;601;800;1200;990;134
f142a14706 N 036;f142a14706;22.5X90;0;N 036;225;900;9;6;24;225;900;54;0;inf;225;900;0;0;9;36;-134;800;1200;864;134
f142a14706 S 036;f142a14706;22.5X90;0;S 036;225;900;9;6;24;225;900;54;2;18;225;900;124,2;48;B;36;441;1010;1200;864;134
a7c9dd16bd N 035;a7c9dd16bd;75X150;0;N 035;750;1500;9;1;23,68;750;1500;9;5;7;750;1500;51,75;118,4;D;35;380;775;1520;828,8;170
a7c9dd16bd S 025;a7c9dd16bd;75X150;0;S 025;750;1500;9;1;23,68;750;1500;9;5;5;750;1500;51,75;118,4;D;25;231;775;1520;592;170
79a453ab4d S 032;79a453ab4d;30.5X56;0;S 032;305;560;9,5;8;21,81;305;560;76;2;16;305;560;174,8;43,62;U;32;618;800;1200;697,92;132
7202c99371 S 040;7202c99371;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
c9444fafe4 S 040;c9444fafe4;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
d167cebaa7 N 040;d167cebaa7;30X60;0;N 040;300;600;9;6;24,38;300;600;54;0;inf;300;600;0;0;9;40;-134;800;1200;975,2;134
d167cebaa7 S 040;d167cebaa7;30X60;0;S 040;300;600;9;6;24,38;300;600;54;2;20;300;600;124,2;48,76;F;40;601;800;1200;975,2;134
90f2d98665 N 040;90f2d98665;30X60;0;N 040;300;600;9;6;24,38;300;600;54;0;inf;300;600;0;0;9;40;-134;800;1200;975,2;134
90f2d98665 S 040;90f2d98665;30X60;0;S 040;300;600;9;6;24,38;300;600;54;2;20;300;600;124,2;48,76;F;40;601;800;1200;975,2;134
45d1a7a6d3 S 040;45d1a7a6d3;30X60 SP;0;S 040;300;600;20;3;24;300;600;60;0;inf;300;600;0;0;F;40;606;800;1200;960;134
b2769119aa N 036;b2769119aa;22.5X90;0;N 036;225;900;9,5;6;26,73;225;900;57;0;inf;225;900;0;0;B;36;441;1010;1200;962,28;134
b2769119aa S 036;b2769119aa;22.5X90;0;S 036;225;900;9,5;6;26,73;225;900;57;2;18;225;900;131,1;53,46;B;36;441;1010;1200;962,28;134
e3fc5dd4d6 N 036;e3fc5dd4d6;22.5X90;0;N 036;225;900;9,5;6;25,2;225;900;57;0;inf;225;900;0;0;B;36;441;1010;1200;907,2;134
e3fc5dd4d6 S 036;e3fc5dd4d6;22.5X90;0;S 036;225;900;9,5;6;25,2;225;900;57;2;18;225;900;131,1;50,4;B;36;441;1010;1200;907,2;134
4423596ecc N 036;4423596ecc;22.5X90;0;N 036;225;900;9;6;23,4;225;900;54;0;inf;225;900;0;0;B;36;441;1010;1200;842,4;134
4423596ecc S 036;4423596ecc;22.5X90;0;S 036;225;900;9;6;23,4;225;900;54;2;18;225;900;124,2;46,8;B;36;441;1010;1200;842,4;134
c1b1346a32 N 036;c1b1346a32;22.5X90;0;N 036;225;900;9,5;6;25,2;225;900;57;0;inf;225;900;0;0;B;36;441;1010;1200;907,2;134
c1b1346a32 S 036;c1b1346a32;22.5X90;0;S 036;225;900;9,5;6;25,2;225;900;57;2;18;225;900;131,1;50,4;B;36;441;1010;1200;907,2;134
c421bb6950 N 036;c421bb6950;22.5X90;0;N 036;225;900;9,5;6;25,2;225;900;57;0;inf;225;900;0;0;B;36;441;1010;1200;907,2;134
c421bb6950 S 036;c421bb6950;22.5X90;0;S 036;225;900;9,5;6;25,2;225;900;57;2;18;225;900;131,1;50,4;B;36;441;1010;1200;907,2;134
8d6733e57f N 036;8d6733e57f;22.5X90;0;N 036;225;900;9,5;6;25,2;225;900;57;0;inf;225;900;0;0;B;36;441;1010;1200;907,2;134
8d6733e57f S 036;8d6733e57f;22.5X90;0;S 036;225;900;9,5;6;25,2;225;900;57;2;18;225;900;131,1;50,4;B;36;441;1010;1200;907,2;134
ba10600374 N 030;ba10600374;25X150;1;N 030;250;1500;9;3;23,68;250;1500;27;0;inf;250;1500;0;0;9;30;-134;800;1200;710,4;134
ba10600374 S 030;ba10600374;25X150;1;S 030;250;1500;9;3;23,68;250;1500;27;5;6;250;1500;155,25;118,4;D;30;330;775;1520;710,4;170
19276280e4 N 036;1,93E+11;45X90;0;N 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
19276280e4 S 036;1,93E+11;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
